int_rate,term,acc_open_past_24mths,annual_inc,dti,fico,loan_amnt,tot_hi_cred_lim,avg_cur_bal,total_bc_limit,period
15.31,36.0,12.0,58000.0,29.38,677.0,12000.0,,,30000.0,train
10.49,36.0,0.0,63180.0,11.47,672.0,20000.0,23275.0,3357.0,16400.0,train
12.49,36.0,2.0,42000.0,16.63,692.0,8300.0,40000.0,3862.0,17000.0,train
11.53,36.0,1.0,31200.0,4.92,682.0,5750.0,6300.0,1544.0,4800.0,train
9.67,36.0,3.0,58000.0,11.94,687.0,8000.0,216588.0,27560.0,9500.0,train
7.62,36.0,1.0,90000.0,16.04,707.0,24000.0,190076.0,14486.0,37800.0,train
15.61,60.0,6.0,60000.0,29.4,687.0,14025.0,193322.0,17506.0,17400.0,train
7.89,36.0,3.0,85000.0,28.82,707.0,25000.0,78514.0,8946.0,35900.0,train
22.99,36.0,6.0,76000.0,26.74,722.0,31900.0,113421.0,3401.0,48200.0,train
8.6,36.0,8.0,65000.0,19.03,757.0,12000.0,355801.0,20070.0,34900.0,train
13.11,36.0,1.0,57000.0,20.84,672.0,15000.0,82294.0,6442.0,16900.0,train
23.43,36.0,3.0,17200.0,5.23,712.0,6000.0,17700.0,144.0,7200.0,train
6.92,36.0,1.0,80000.0,28.88,732.0,24000.0,181352.0,18113.0,42700.0,train
6.92,36.0,,52500.0,12.21,742.0,9500.0,,,,train
17.57,36.0,0.0,21680.0,24.53,682.0,8000.0,22694.0,1856.0,8500.0,train
16.49,36.0,8.0,45000.0,15.71,667.0,7100.0,36554.0,2670.0,5000.0,train
19.99,60.0,5.0,246000.0,9.71,812.0,35000.0,109440.0,13041.0,12500.0,train
7.9,36.0,4.0,102000.0,29.16,752.0,24600.0,474270.0,43356.0,51000.0,train
21.15,36.0,4.0,125000.0,6.38,687.0,9000.0,43300.0,3213.0,28800.0,train
8.39,36.0,3.0,85000.0,11.59,697.0,24000.0,207050.0,12240.0,5500.0,train
12.12,36.0,0.0,79000.0,10.33,672.0,17500.0,63856.0,8822.0,27500.0,train
12.29,60.0,5.0,47000.0,19.97,697.0,14000.0,44044.0,2423.0,13200.0,train
19.99,36.0,18.0,108910.0,29.15,672.0,35000.0,79652.0,2338.0,13200.0,train
17.57,36.0,13.0,82000.0,12.31,672.0,9000.0,50529.0,2145.0,16150.0,train
17.14,36.0,9.0,35000.0,31.08,672.0,9875.0,17300.0,708.0,4700.0,train
11.71,36.0,,18000.0,18.33,697.0,5000.0,,,,train
19.2,36.0,3.0,38000.0,25.36,702.0,3500.0,95992.0,15901.0,4500.0,train
7.89,36.0,3.0,118000.0,22.43,672.0,20000.0,156967.0,14250.0,25500.0,train
11.99,36.0,2.0,96000.0,23.56,702.0,6000.0,269992.0,13410.0,28410.0,train
14.64,60.0,4.0,97000.0,21.75,692.0,16000.0,265103.0,15684.0,18200.0,train
7.26,36.0,11.0,48000.0,7.45,742.0,8000.0,92662.0,1563.0,37200.0,train
16.24,36.0,6.0,24000.0,28.2,687.0,10075.0,28777.0,1674.0,10000.0,train
16.99,36.0,5.0,75000.0,18.38,672.0,35000.0,134648.0,6452.0,33400.0,train
21.6,36.0,6.0,100000.0,16.39,697.0,35000.0,84359.0,4523.0,38500.0,train
6.99,36.0,2.0,95000.0,16.57,672.0,10000.0,179819.0,9864.0,15200.0,train
11.67,36.0,4.0,69000.0,24.77,697.0,7000.0,418741.0,27933.0,2000.0,train
19.22,36.0,14.0,100000.0,10.14,662.0,20000.0,,,17100.0,train
15.61,36.0,2.0,180000.0,0.6,787.0,35000.0,27500.0,801.0,27500.0,train
11.14,36.0,4.0,84000.0,11.59,687.0,8000.0,28135.0,1650.0,12200.0,train
19.52,60.0,8.0,120000.0,9.09,692.0,16000.0,632400.0,50407.0,35300.0,train
20.99,36.0,4.0,70000.0,22.32,682.0,15000.0,49125.0,2432.0,19000.0,train
7.62,36.0,7.0,265000.0,12.6,732.0,30000.0,375235.0,17718.0,64300.0,train
18.25,60.0,10.0,100000.0,32.78,687.0,21800.0,472941.0,18216.0,45400.0,train
11.99,36.0,7.0,80000.0,7.94,667.0,10000.0,27834.0,2048.0,4250.0,train
10.99,36.0,4.0,52000.0,23.18,687.0,6000.0,190864.0,18173.0,4700.0,train
18.75,36.0,4.0,77000.0,10.13,667.0,4000.0,31202.0,4385.0,1200.0,train
13.33,60.0,7.0,95000.0,12.37,662.0,14000.0,165229.0,10669.0,10300.0,train
13.33,36.0,5.0,90000.0,18.48,672.0,20000.0,274642.0,22757.0,7600.0,train
17.27,36.0,2.0,35000.0,22.42,677.0,5500.0,30012.0,1890.0,4200.0,train
10.99,36.0,2.0,40000.0,6.21,682.0,10000.0,18000.0,3080.0,18000.0,train
7.49,36.0,4.0,62000.0,15.12,707.0,6000.0,173150.0,15280.0,8100.0,train
17.57,60.0,4.0,41000.0,30.8,737.0,18425.0,106273.0,3181.0,29700.0,train
8.9,36.0,2.0,60000.0,13.56,717.0,12000.0,228508.0,16439.0,7400.0,train
13.33,36.0,2.0,23000.0,23.43,672.0,9650.0,29513.0,4760.0,11100.0,train
9.71,36.0,4.0,42000.0,17.94,707.0,12000.0,66700.0,1122.0,49100.0,train
12.69,36.0,2.0,65000.0,14.55,682.0,8000.0,30900.0,1634.0,19900.0,train
13.98,60.0,,105000.0,16.94,702.0,12000.0,,,,train
7.89,36.0,4.0,100000.0,22.06,737.0,24000.0,314497.0,19148.0,28100.0,train
12.99,36.0,3.0,30000.0,8.4,702.0,6600.0,9218.0,1044.0,8000.0,train
18.25,60.0,3.0,55000.0,23.57,707.0,25200.0,175493.0,18284.0,17100.0,train
18.54,36.0,5.0,40000.0,28.53,672.0,12800.0,63136.0,3805.0,6699.0,train
16.99,36.0,3.0,130000.0,10.12,712.0,3000.0,202257.0,21527.0,13600.0,train
14.33,60.0,2.0,52000.0,31.64,747.0,20000.0,227693.0,12965.0,4500.0,train
6.03,36.0,4.0,120000.0,17.63,807.0,18000.0,329397.0,9683.0,39800.0,train
12.29,36.0,12.0,56000.0,18.43,662.0,14000.0,36507.0,1072.0,14000.0,train
11.67,36.0,5.0,84275.0,12.69,672.0,4000.0,179758.0,21160.0,3800.0,train
10.99,36.0,,78000.0,18.05,712.0,12000.0,,,,train
7.49,36.0,4.0,170000.0,13.78,722.0,28000.0,402325.0,20934.0,39800.0,train
21.98,60.0,8.0,80000.0,11.42,672.0,21000.0,92894.0,8875.0,14600.0,train
7.12,36.0,4.0,107100.0,14.82,722.0,24000.0,372611.0,12831.0,46300.0,train
8.67,36.0,5.0,130000.0,11.34,712.0,6500.0,338611.0,27388.0,5700.0,train
19.29,60.0,,64800.0,22.06,692.0,30000.0,,,,train
20.49,60.0,5.0,110000.0,16.51,707.0,27975.0,216515.0,20538.0,9900.0,train
9.17,36.0,2.0,39000.0,16.83,752.0,12000.0,51909.0,8121.0,5000.0,train
18.25,60.0,6.0,36000.0,28.15,667.0,14375.0,48703.0,4635.0,17500.0,train
19.24,60.0,8.0,160000.0,16.5,682.0,25000.0,158894.0,11787.0,21900.0,train
15.61,36.0,6.0,29000.0,17.43,672.0,5600.0,121289.0,20828.0,3000.0,train
11.55,36.0,6.0,58000.0,27.58,672.0,9600.0,227210.0,13533.0,19800.0,train
13.35,36.0,7.0,35000.0,31.41,687.0,7500.0,44808.0,5258.0,3200.0,train
14.09,60.0,3.0,65000.0,14.49,692.0,6000.0,,,15300.0,train
12.49,60.0,6.0,65000.0,10.99,677.0,14325.0,145100.0,11921.0,3100.0,train
14.49,36.0,5.0,97900.0,17.57,707.0,35000.0,176254.0,13429.0,27500.0,train
14.09,36.0,0.0,68000.0,14.24,707.0,24000.0,32500.0,5981.0,27700.0,train
12.99,60.0,7.0,110000.0,17.64,722.0,12000.0,564160.0,47796.0,33500.0,train
14.31,60.0,7.0,70000.0,23.04,722.0,12800.0,169600.0,24678.0,29500.0,train
20.2,60.0,1.0,100000.0,20.8,682.0,35000.0,187270.0,21135.0,17200.0,train
14.99,36.0,8.0,55000.0,12.35,667.0,8000.0,164163.0,11442.0,15700.0,train
13.33,60.0,3.0,75000.0,27.34,677.0,11000.0,240248.0,22938.0,5200.0,train
13.99,60.0,0.0,48000.0,17.75,667.0,22000.0,52159.0,4435.0,12500.0,train
26.06,60.0,7.0,50000.0,19.97,667.0,20000.0,33301.0,2622.0,9500.0,train
8.39,36.0,4.0,65000.0,20.38,687.0,17000.0,107655.0,2282.0,48400.0,train
15.96,60.0,,43000.0,16.72,682.0,6250.0,,,,train
11.99,36.0,,30000.0,17.2,687.0,6000.0,,,,train
17.86,60.0,3.0,95000.0,18.91,667.0,22000.0,317335.0,19718.0,13200.0,train
12.85,36.0,3.0,109456.0,9.07,707.0,35000.0,224536.0,18847.0,52700.0,train
8.18,36.0,8.0,92000.0,24.47,707.0,2000.0,312734.0,22550.0,22900.0,train
9.99,60.0,6.0,105000.0,14.78,752.0,18000.0,513745.0,39515.0,23800.0,train
14.65,36.0,9.0,42000.0,29.4,687.0,10000.0,147664.0,7354.0,9500.0,train
20.2,60.0,3.0,50000.0,22.35,677.0,20000.0,56154.0,2638.0,32400.0,train
11.53,60.0,7.0,32000.0,34.77,717.0,14000.0,118579.0,6071.0,18300.0,train
19.52,60.0,1.0,54000.0,15.35,682.0,24750.0,42830.0,2744.0,26300.0,train
18.54,60.0,7.0,116500.0,25.63,712.0,25725.0,406249.0,23965.0,21300.0,train
13.99,36.0,6.0,80000.0,28.04,702.0,12000.0,103924.0,9674.0,7600.0,train
15.59,60.0,10.0,109200.0,17.12,667.0,24000.0,241453.0,13953.0,4000.0,train
10.49,36.0,3.0,65000.0,14.38,662.0,20000.0,187833.0,13767.0,30800.0,train
13.33,36.0,6.0,50000.0,31.9,717.0,14500.0,118229.0,5882.0,25900.0,train
18.62,60.0,,40000.0,9.9,692.0,25450.0,,,,train
6.03,36.0,9.0,83000.0,2.47,807.0,15000.0,111478.0,3691.0,40500.0,train
16.99,36.0,6.0,60000.0,18.78,677.0,7200.0,115499.0,3630.0,14500.0,train
17.57,60.0,7.0,75000.0,22.73,682.0,12000.0,80913.0,3795.0,28100.0,train
17.14,60.0,5.0,94000.0,13.89,712.0,18000.0,278000.0,23579.0,26300.0,train
13.33,60.0,7.0,62400.0,23.54,717.0,24000.0,375425.0,31351.0,17100.0,train
14.3,36.0,9.0,379000.0,14.96,712.0,28000.0,598674.0,24558.0,44000.0,train
15.61,60.0,6.0,140000.0,6.99,712.0,30000.0,64960.0,1389.0,7700.0,train
9.71,60.0,3.0,135000.0,19.23,727.0,21000.0,382308.0,24504.0,114700.0,train
12.99,36.0,7.0,105000.0,3.54,707.0,14075.0,213119.0,19006.0,15800.0,train
23.83,60.0,5.0,95000.0,18.62,662.0,35000.0,297391.0,17086.0,19678.0,train
7.9,36.0,5.0,95000.0,7.67,712.0,19300.0,272400.0,14475.0,28500.0,train
9.17,36.0,4.0,72000.0,6.3,692.0,17000.0,390988.0,74886.0,15500.0,train
6.49,36.0,8.0,39700.0,22.7,687.0,8875.0,359175.0,20752.0,28400.0,train
10.99,36.0,3.0,24000.0,21.75,687.0,7000.0,20488.0,633.0,4400.0,train
15.8,36.0,3.0,155000.0,18.71,662.0,35000.0,488666.0,33504.0,40000.0,train
14.64,36.0,2.0,20000.0,31.27,702.0,5950.0,30950.0,2623.0,6200.0,train
11.44,60.0,3.0,107000.0,18.54,712.0,28000.0,274871.0,27406.0,43800.0,train
10.15,36.0,10.0,28000.0,29.96,682.0,3000.0,52502.0,4327.0,5600.0,train
15.8,36.0,4.0,66000.0,25.47,697.0,8450.0,315682.0,22544.0,16100.0,train
6.68,36.0,6.0,50000.0,23.89,727.0,9600.0,280528.0,17683.0,34500.0,train
9.67,36.0,5.0,43700.0,7.22,697.0,13200.0,25000.0,1140.0,16000.0,train
18.99,36.0,2.0,30000.0,28.64,662.0,1000.0,34320.0,4002.0,9600.0,train
12.29,36.0,4.0,140000.0,19.95,712.0,14400.0,136338.0,7527.0,57200.0,train
12.29,60.0,11.0,103000.0,24.47,767.0,30000.0,117046.0,3147.0,34200.0,train
16.2,36.0,6.0,90000.0,16.84,692.0,30225.0,303001.0,16444.0,28700.0,train
19.99,36.0,7.0,90000.0,17.65,662.0,24075.0,156444.0,13735.0,1200.0,train
7.89,36.0,0.0,90000.0,8.32,672.0,10500.0,33800.0,2316.0,23200.0,train
9.67,36.0,11.0,64000.0,22.69,687.0,16800.0,224022.0,10199.0,32900.0,train
11.14,36.0,1.0,50000.0,9.26,697.0,10000.0,24771.0,1334.0,10700.0,train
7.9,36.0,0.0,70000.0,15.07,752.0,27575.0,63700.0,10151.0,63700.0,train
15.31,36.0,6.0,115000.0,13.91,677.0,10950.0,204564.0,26946.0,750.0,train
15.88,36.0,5.0,252000.0,6.49,687.0,3125.0,810758.0,65935.0,5100.0,train
14.46,36.0,,50000.0,13.51,672.0,4500.0,,,,train
13.33,36.0,9.0,52000.0,6.92,662.0,10525.0,19000.0,1187.0,13200.0,train
10.99,36.0,0.0,200000.0,12.07,717.0,35000.0,782076.0,118258.0,16200.0,train
9.49,36.0,1.0,88000.0,10.46,687.0,12000.0,116043.0,6530.0,22200.0,train
13.98,36.0,1.0,40000.0,18.72,677.0,8400.0,256574.0,24988.0,6900.0,train
18.92,36.0,2.0,27190.0,19.96,687.0,10850.0,26400.0,1729.0,18800.0,train
11.14,36.0,3.0,44000.0,20.78,687.0,19600.0,41661.0,3954.0,5800.0,train
13.98,36.0,9.0,34500.0,31.37,692.0,5000.0,71817.0,2192.0,10700.0,train
16.59,60.0,3.0,220000.0,12.19,707.0,35000.0,862564.0,59437.0,30900.0,train
13.68,60.0,1.0,51400.0,25.7,722.0,17850.0,125144.0,10718.0,20400.0,train
18.84,60.0,7.0,45000.0,36.39,662.0,15000.0,72059.0,8885.0,10500.0,train
18.24,60.0,4.0,58000.0,28.78,687.0,26650.0,225125.0,15004.0,20600.0,train
12.99,60.0,3.0,150000.0,9.7,692.0,20000.0,450689.0,75903.0,1000.0,train
13.99,36.0,5.0,71968.0,28.9,682.0,21000.0,387569.0,14518.0,30500.0,train
14.33,60.0,5.0,83000.0,13.17,702.0,25600.0,321600.0,19881.0,41300.0,train
21.67,60.0,3.0,110000.0,16.16,687.0,33500.0,421694.0,37280.0,10600.0,train
9.67,36.0,8.0,93000.0,17.47,667.0,10000.0,303289.0,30113.0,12000.0,train
14.49,36.0,10.0,64000.0,15.85,667.0,13000.0,93345.0,6744.0,23200.0,train
10.99,36.0,3.0,50000.0,7.85,687.0,9600.0,21500.0,1925.0,14400.0,train
13.35,36.0,5.0,45000.0,29.76,712.0,10000.0,297404.0,20025.0,23000.0,train
12.12,36.0,3.0,89125.0,7.57,692.0,12000.0,,,15000.0,train
19.22,36.0,6.0,77000.0,22.72,682.0,25000.0,70320.0,2982.0,11300.0,train
8.18,36.0,7.0,36000.0,22.77,712.0,8000.0,196572.0,13374.0,24500.0,train
15.88,36.0,2.0,63000.0,20.84,672.0,10000.0,54263.0,4394.0,16000.0,train
12.53,36.0,,100080.0,14.45,722.0,20600.0,,,,train
18.25,60.0,14.0,60000.0,27.4,677.0,15000.0,242408.0,9728.0,33425.0,train
5.32,36.0,2.0,85000.0,5.42,722.0,14000.0,52000.0,1792.0,44500.0,train
7.49,36.0,2.0,53000.0,26.22,747.0,12000.0,62554.0,3489.0,14200.0,train
11.53,36.0,2.0,600000.0,10.63,707.0,35000.0,1484386.0,101485.0,124500.0,train
7.51,36.0,,55000.0,7.37,757.0,5000.0,,,,train
10.59,36.0,,30840.0,16.19,697.0,6000.0,,,,train
12.12,36.0,1.0,20000.0,4.84,712.0,1200.0,3814.0,835.0,3500.0,train
24.2,60.0,,125000.0,9.73,662.0,28000.0,,,,train
8.39,36.0,6.0,29000.0,20.41,692.0,6000.0,35500.0,1111.0,15000.0,train
7.62,36.0,4.0,70000.0,12.22,747.0,15000.0,162517.0,11716.0,19400.0,train
18.55,36.0,6.0,50000.0,15.94,672.0,21850.0,179599.0,15522.0,16400.0,train
12.39,60.0,3.0,90000.0,15.95,727.0,35000.0,214515.0,15482.0,34000.0,train
19.52,60.0,8.0,83000.0,16.24,677.0,27800.0,84297.0,3736.0,30100.0,train
7.49,36.0,2.0,74000.0,12.49,697.0,19500.0,179255.0,19566.0,19800.0,train
17.14,36.0,6.0,40000.0,35.22,697.0,11000.0,59256.0,2318.0,25500.0,train
8.9,36.0,8.0,103000.0,12.82,707.0,15000.0,400800.0,23158.0,15000.0,train
20.8,60.0,7.0,145000.0,19.21,667.0,28000.0,311100.0,18481.0,27900.0,train
8.39,36.0,6.0,115000.0,11.34,687.0,28000.0,60161.0,4167.0,24600.0,train
7.12,36.0,12.0,57000.0,18.23,722.0,15000.0,246043.0,9744.0,24900.0,train
16.55,60.0,3.0,64620.37,33.2,717.0,30000.0,227886.0,12788.0,9600.0,train
17.57,36.0,8.0,75000.0,14.74,662.0,10000.0,59137.0,4263.0,15500.0,train
16.29,36.0,7.0,43000.0,22.91,677.0,8600.0,192347.0,30412.0,5000.0,train
12.12,36.0,7.0,65000.0,12.54,697.0,5000.0,,,9200.0,train
13.35,36.0,4.0,34000.0,26.01,702.0,7000.0,125587.0,11242.0,11800.0,train
13.33,36.0,1.0,34000.0,25.03,677.0,6800.0,35900.0,2684.0,26300.0,train
14.49,36.0,4.0,42500.0,20.9,662.0,12000.0,29882.0,2605.0,17400.0,train
9.99,36.0,4.0,27000.0,22.84,707.0,12400.0,35400.0,878.0,14100.0,train
18.75,36.0,4.0,98000.0,9.17,662.0,13000.0,23593.0,1492.0,12000.0,train
6.03,36.0,1.0,100000.0,12.06,727.0,15000.0,270167.0,18330.0,55800.0,train
18.24,60.0,6.0,97000.0,15.53,677.0,30000.0,232992.0,16769.0,18100.0,train
7.62,36.0,3.0,130000.0,22.93,832.0,28000.0,443245.0,16190.0,47100.0,train
6.03,36.0,3.0,65000.0,11.76,742.0,20000.0,289210.0,26160.0,11300.0,train
24.5,60.0,4.0,50568.0,22.59,722.0,18150.0,94712.0,4713.0,19000.0,train
11.99,60.0,1.0,90000.0,16.6,702.0,21000.0,304025.0,13660.0,33200.0,train
6.03,36.0,5.0,120000.0,7.68,767.0,28000.0,603028.0,17447.0,178200.0,train
13.68,36.0,5.0,37500.0,13.21,682.0,10000.0,79653.0,4392.0,31500.0,train
7.9,36.0,2.0,115000.0,17.62,732.0,9000.0,687940.0,48815.0,6700.0,train
15.31,60.0,2.0,92000.0,12.5,722.0,28000.0,86559.0,3898.0,42900.0,train
15.31,36.0,3.0,69000.0,8.68,677.0,3000.0,,,10300.0,train
17.86,60.0,8.0,55000.0,32.08,692.0,10375.0,219627.0,9465.0,34900.0,train
16.55,36.0,6.0,44000.0,21.63,717.0,3600.0,39454.0,4251.0,2000.0,train
14.49,36.0,5.0,58000.0,24.53,667.0,12000.0,64560.0,3276.0,20000.0,train
11.53,36.0,1.0,60000.0,19.08,712.0,23000.0,51942.0,5227.0,17000.0,train
13.98,36.0,4.0,33000.0,23.89,707.0,3900.0,46700.0,1280.0,13200.0,train
13.11,36.0,6.0,104000.0,17.97,692.0,2000.0,,,11900.0,train
16.55,60.0,8.0,42000.0,35.74,687.0,10000.0,84672.0,2276.0,30200.0,train
10.49,60.0,4.0,70000.0,16.22,717.0,30000.0,360091.0,26405.0,74500.0,train
8.9,36.0,3.0,120000.0,5.54,712.0,10000.0,36797.0,2350.0,23000.0,train
17.86,60.0,5.0,70000.0,20.95,672.0,20000.0,229736.0,17790.0,14200.0,train
21.67,60.0,5.0,92000.0,27.84,682.0,20000.0,176179.0,7275.0,38749.0,train
15.61,36.0,6.0,49000.0,16.42,672.0,9000.0,39832.0,3037.0,7100.0,train
19.52,36.0,4.0,50000.0,8.09,682.0,10500.0,21600.0,1622.0,7500.0,train
10.49,36.0,1.0,45000.0,24.88,717.0,4000.0,169362.0,19857.0,3600.0,train
17.57,60.0,3.0,105000.0,16.74,687.0,15000.0,334486.0,21369.0,15600.0,train
19.47,60.0,7.0,190000.0,21.33,702.0,25000.0,591573.0,25504.0,23100.0,train
14.65,36.0,1.0,18473.0,16.89,672.0,7375.0,15700.0,1411.0,9800.0,train
15.61,36.0,4.0,56000.0,9.3,662.0,8000.0,19100.0,943.0,10600.0,train
14.99,36.0,7.0,65000.0,38.37,662.0,12500.0,102085.0,3973.0,22200.0,train
16.29,60.0,9.0,102000.0,19.14,717.0,14000.0,122676.0,4127.0,17800.0,train
10.99,36.0,5.0,75000.0,27.36,672.0,25000.0,270000.0,24205.0,28400.0,train
9.67,36.0,2.0,110000.0,16.19,682.0,18000.0,105609.0,27690.0,8700.0,train
19.52,60.0,6.0,110000.0,26.64,682.0,18000.0,366716.0,32276.0,2100.0,train
6.24,36.0,3.0,24530.0,26.86,787.0,5400.0,70284.0,3687.0,15800.0,train
21.98,60.0,6.0,53000.0,23.75,692.0,16800.0,112293.0,10868.0,7300.0,train
14.31,36.0,8.0,79274.0,34.29,672.0,12600.0,158163.0,6093.0,5200.0,train
16.99,60.0,6.0,48000.0,5.7,772.0,16000.0,167864.0,12508.0,17100.0,train
14.09,36.0,2.0,49990.0,19.23,687.0,19700.0,187070.0,17691.0,18100.0,train
6.68,36.0,9.0,150000.0,11.49,692.0,24000.0,736742.0,49107.0,17900.0,train
17.14,36.0,2.0,125000.0,17.37,712.0,35000.0,72955.0,3369.0,13600.0,train
12.99,36.0,14.0,46549.0,15.96,682.0,5500.0,54636.0,5067.0,2200.0,train
19.52,36.0,2.0,34000.0,4.02,662.0,4125.0,8600.0,725.0,2900.0,train
13.99,60.0,4.0,40000.0,31.17,682.0,15000.0,116583.0,6165.0,11500.0,train
14.27,60.0,,121000.0,1.99,747.0,35000.0,,,,train
14.16,36.0,5.0,68000.0,15.25,662.0,15000.0,44088.0,3787.0,13800.0,train
10.99,36.0,5.0,60000.0,26.72,687.0,15000.0,196558.0,13708.0,33500.0,train
6.03,36.0,0.0,93120.0,9.13,752.0,20000.0,302690.0,22713.0,40300.0,train
22.4,60.0,7.0,68000.0,12.12,662.0,21000.0,37806.0,3697.0,500.0,train
8.9,36.0,3.0,90000.0,14.29,682.0,17000.0,54425.0,2200.0,27400.0,train
14.65,60.0,6.0,52000.0,24.69,722.0,10000.0,277610.0,19704.0,25700.0,train
22.47,60.0,4.0,120000.0,4.88,677.0,18000.0,209933.0,32879.0,3900.0,train
18.24,60.0,15.0,60000.0,24.48,672.0,19150.0,85769.0,3641.0,8100.0,train
15.61,36.0,9.0,82000.0,35.17,687.0,20000.0,366595.0,13721.0,19555.0,train
12.49,60.0,5.0,75000.0,29.51,707.0,19200.0,116704.0,7294.0,14800.0,train
9.49,36.0,11.0,120000.0,8.95,662.0,21000.0,207522.0,17375.0,13400.0,train
14.64,36.0,0.0,175000.0,0.77,682.0,35000.0,30600.0,1544.0,30600.0,train
6.92,36.0,7.0,55000.0,10.95,672.0,10000.0,30775.0,1533.0,7600.0,train
12.69,60.0,4.0,71027.26,20.78,722.0,25000.0,108658.0,12352.0,12100.0,train
12.12,36.0,3.0,50500.0,20.16,677.0,12000.0,174858.0,14158.0,37200.0,train
11.99,36.0,3.0,62000.0,18.41,702.0,21850.0,178365.0,19744.0,30700.0,train
9.17,36.0,6.0,85000.0,28.76,697.0,4475.0,522672.0,21343.0,28200.0,train
15.1,60.0,2.0,84924.0,23.78,717.0,21000.0,168575.0,10763.0,17800.0,train
12.49,36.0,2.0,55000.0,22.43,692.0,10000.0,75679.0,3831.0,16400.0,train
10.99,36.0,3.0,40000.0,17.28,687.0,15000.0,163909.0,17096.0,9000.0,train
14.49,36.0,5.0,35000.0,33.95,677.0,15400.0,37917.0,1552.0,19000.0,train
15.31,36.0,5.0,50671.68,25.77,692.0,18800.0,62149.0,6152.0,17700.0,train
15.31,36.0,5.0,72000.0,18.31,717.0,6775.0,394221.0,21530.0,31500.0,train
13.33,60.0,8.0,54000.0,9.38,687.0,16000.0,38245.0,341.0,12000.0,train
9.17,36.0,3.0,100000.0,7.07,697.0,4800.0,70300.0,3144.0,62300.0,train
18.55,60.0,4.0,91045.0,25.52,687.0,35000.0,93617.0,3906.0,28800.0,train
6.99,36.0,6.0,120000.0,10.18,677.0,10000.0,241612.0,13181.0,12200.0,train
7.69,36.0,2.0,120000.0,2.05,762.0,6000.0,167316.0,11293.0,49900.0,train
11.67,60.0,5.0,57000.0,29.93,707.0,18000.0,212019.0,11957.0,42100.0,train
11.67,36.0,4.0,79999.0,13.35,677.0,4000.0,71744.0,4847.0,3500.0,train
14.99,36.0,7.0,47000.0,15.4,667.0,6100.0,92832.0,5633.0,2800.0,train
17.56,60.0,3.0,50000.0,29.47,717.0,11200.0,155736.0,9839.0,8000.0,train
9.99,36.0,6.0,65000.0,34.38,692.0,8400.0,103507.0,2361.0,14400.0,train
8.9,36.0,7.0,55000.0,4.01,712.0,12000.0,20400.0,563.0,19500.0,train
7.89,36.0,3.0,50000.0,18.51,677.0,5000.0,48833.0,2296.0,11200.0,train
